S1,S2,S3,S4,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S24,S25,S26,S27,S28,S29,S30,S32,Clase
0.0077967,0.0051283,0.0068502,0.0045062,0.0018843,0.0064413,0.0078437,0.0041316,0.0040475,0.0026241,0.001869,0.0013784,0.0045875,0.0029777,0.0044622,0.0080833,0.0017519,0.0135497,0.001836,0.00279,0.0010752,0.002579,0.0124353,0.0015504,0.0129382,0.0080022,0.0033777,0.0018286,inf
0.0064072,0.0041426,0.0056483,0.0036752,0.0016133,0.0056053,0.0066695,0.0035006,0.0035136,0.0022057,0.0015651,0.0012327,0.003946,0.0026375,0.0037612,0.0068997,0.001446,0.0116258,0.0015818,0.0024132,0.0008525,0.002178,0.0106172,0.0013376,0.0109848,0.0068209,0.0029592,0.0015021,inf
0.0063947,0.0040658,0.0055016,0.003225,0.0015475,0.0056466,0.0066274,0.0033583,0.0035128,0.0022839,0.0015396,0.0011753,0.003761,0.0025583,0.0036724,0.0066791,0.0013709,0.0111572,0.0015216,0.0023712,0.0008504,0.0020596,0.0104538,0.001202,0.0108001,0.0067511,0.0028072,0.0014317,inf
0.0065287,0.0043727,0.0059709,0.0037976,0.0016041,0.0057775,0.0068679,0.0036428,0.0036258,0.0022584,0.0016137,0.0012219,0.0040383,0.0026567,0.0038221,0.0070551,0.0014908,0.0121375,0.0015775,0.002489,0.0008498,0.0022228,0.0109879,0.0012843,0.0114489,0.0070183,0.002944,0.0015408,inf
0.0065951,0.00422,0.0057306,0.0034129,0.001586,0.0058113,0.0069502,0.0035361,0.0038128,0.0023219,0.0015911,0.0011609,0.0040339,0.0025629,0.0037322,0.0071589,0.0014704,0.0124497,0.0015775,0.0024338,0.0009112,0.0021484,0.0110509,0.0012696,0.0113323,0.007129,0.0029596,0.001514,inf
0.0068751,0.0046021,0.0062076,0.0040161,0.0016574,0.0062319,0.0072686,0.0038405,0.0039283,0.0024369,0.0016408,0.0012452,0.0042529,0.0027942,0.0040325,0.0075765,0.0014993,0.0132929,0.0016667,0.0026375,0.0009441,0.0023146,0.0117802,0.0013317,0.0121637,0.0075094,0.0031411,0.0015694,inf
0.0065542,0.0044783,0.0058455,0.0037468,0.0015935,0.0057161,0.0068416,0.0035226,0.0036165,0.0023322,0.0015817,0.00117,0.0040215,0.0026494,0.0038144,0.0070381,0.0014846,0.01203,0.0016025,0.0024381,0.0008912,0.0022026,0.0108549,0.0013139,0.0113151,0.0069676,0.0030275,0.0015793,inf
0.0066991,0.0045351,0.0058069,0.0038282,0.001653,0.0057745,0.0069658,0.003661,0.0036502,0.0023946,0.0016267,0.0012053,0.0041562,0.0027212,0.0038933,0.0072704,0.001537,0.0125085,0.0016411,0.0025668,0.0008958,0.0022665,0.0112351,0.0013461,0.0116098,0.0072205,0.0030773,0.0016342,inf
0.008117,0.0050641,0.0067687,0.0041858,0.0016971,0.0053019,0.0074784,0.0034885,0.003873,0.0023288,0.0016527,0.0012064,0.0039534,0.0026019,0.0036463,0.0068312,0.0019048,0.0109608,0.0016662,0.0025142,0.0008462,0.0022802,0.0106675,0.0016451,0.010764,0.0074934,0.0029051,0.0017715,inf
0.0076811,0.0050085,0.0064379,0.0040732,0.0017021,0.0054568,0.007375,0.0036229,0.0038866,0.0023753,0.0016997,0.0012332,0.004062,0.0027307,0.0038268,0.0069984,0.0018155,0.0114048,0.0016797,0.0025188,0.0009087,0.0023322,0.0109263,0.0015653,0.0111474,0.0074105,0.0030397,0.0017053,inf
0.0077888,0.0050855,0.0064599,0.0042354,0.0016655,0.0051977,0.0072934,0.0034886,0.0039084,0.0023046,0.0016686,0.0012007,0.0039805,0.0025647,0.0036801,0.0067918,0.0018029,0.0112084,0.0016386,0.0024604,0.000868,0.0022985,0.0106751,0.0016635,0.0108076,0.0073566,0.0029166,0.0017742,inf
0.0085431,0.0055437,0.0070368,0.0046464,0.0017794,0.0056453,0.0079398,0.0036678,0.0042527,0.0026524,0.0017637,0.0012419,0.0042658,0.0026759,0.0039112,0.0073171,0.001953,0.0122241,0.0017503,0.0026645,0.0007887,0.0024767,0.011647,0.0017991,0.0117078,0.0079975,0.0031116,0.0019262,inf
0.0084704,0.0053486,0.0070324,0.0044305,0.0017277,0.0061041,0.0081599,0.0036914,0.0043251,0.0025316,0.0017439,0.0013042,0.0042992,0.00279,0.0040201,0.0074165,0.0018467,0.0126833,0.0017473,0.0026504,0.0008704,0.0024242,0.0118498,0.0016128,0.0119711,0.0081505,0.003098,0.0017751,inf
0.0074647,0.0048978,0.0065805,0.0040069,0.0016884,0.0057645,0.0074257,0.0035893,0.0039178,0.0023989,0.0016853,0.0012798,0.0041406,0.0027184,0.0038947,0.0072279,0.0017183,0.0120913,0.0016691,0.0025953,0.0009042,0.0022756,0.0109383,0.0014976,0.0114995,0.0074989,0.0029872,0.0016798,inf
